Country_Region,Province_State,County,Combined_Key,Population_Density
US,Alabama,Autauga,"Autauga, Alabama, US",35.85341899
US,Alabama,Baldwin,"Baldwin, Alabama, US",50.54150356
US,Alabama,Barbour,"Barbour, Alabama, US",11.24798121
US,Alabama,Bibb,"Bibb, Alabama, US",13.973114
US,Alabama,Blount,"Blount, Alabama, US",34.51581642
US,Alabama,Bullock,"Bullock, Alabama, US",6.41761955
US,Alabama,Butler,"Butler, Alabama, US",9.952770785
US,Alabama,Calhoun,"Calhoun, Alabama, US",73.348688
US,Alabama,Chambers,"Chambers, Alabama, US",21.89263808
US,Alabama,Cherokee,"Cherokee, Alabama, US",18.0333283
US,Alabama,Chilton,"Chilton, Alabama, US",24.48066939
US,Alabama,Choctaw,"Choctaw, Alabama, US",5.526508604
US,Alabama,Clarke,"Clarke, Alabama, US",7.603131652
US,Alabama,Clay,"Clay, Alabama, US",8.552331345
US,Alabama,Cleburne,"Cleburne, Alabama, US",10.29735391
US,Alabama,Coffee,"Coffee, Alabama, US",29.16467291
US,Alabama,Colbert,"Colbert, Alabama, US",35.49694998
US,Alabama,Conecuh,"Conecuh, Alabama, US",5.682995171
US,Alabama,Coosa,"Coosa, Alabama, US",6.438885282
US,Alabama,Covington,"Covington, Alabama, US",13.99370346
US,Alabama,Crenshaw,"Crenshaw, Alabama, US",8.792273306
US,Alabama,Cullman,"Cullman, Alabama, US",43.25267563
US,Alabama,Dale,"Dale, Alabama, US",33.89312549
US,Alabama,Dallas,"Dallas, Alabama, US",15.79103338
US,Alabama,DeKalb,"DeKalb, Alabama, US",35.37577983
US,Alabama,Elmore,"Elmore, Alabama, US",50.70144021
US,Alabama,Escambia,"Escambia, Alabama, US",15.24764898
US,Alabama,Etowah,"Etowah, Alabama, US",74.25054812
US,Alabama,Fayette,"Fayette, Alabama, US",10.20180135
US,Alabama,Franklin,"Franklin, Alabama, US",19.21135615
US,Alabama,Geneva,"Geneva, Alabama, US",17.80431585
US,Alabama,Greene,"Greene, Alabama, US",5.028100131
US,Alabama,Hale,"Hale, Alabama, US",8.925557001
US,Alabama,Henry,"Henry, Alabama, US",11.76966574
US,Alabama,Houston,"Houston, Alabama, US",69.48209266
US,Alabama,Jackson,"Jackson, Alabama, US",18.65848284
US,Alabama,Jefferson,"Jefferson, Alabama, US",229.2513381
US,Alabama,Lamar,"Lamar, Alabama, US",8.894097028
US,Alabama,Lauderdale,"Lauderdale, Alabama, US",53.51282236
US,Alabama,Lawrence,"Lawrence, Alabama, US",18.54305046
US,Alabama,Lee,"Lee, Alabama, US",101.2278644
US,Alabama,Limestone,"Limestone, Alabama, US",64.16149688
US,Alabama,Lowndes,"Lowndes, Alabama, US",5.520435979
US,Alabama,Macon,"Macon, Alabama, US",12.08354055
US,Alabama,Madison,"Madison, Alabama, US",172.2275
US,Alabama,Marengo,"Marengo, Alabama, US",7.722101608
US,Alabama,Marion,"Marion, Alabama, US",15.58520673
US,Alabama,Marshall,"Marshall, Alabama, US",64.92182299
US,Alabama,Mobile,"Mobile, Alabama, US",130.2299289
US,Alabama,Monroe,"Monroe, Alabama, US",8.097965626
US,Alabama,Montgomery,"Montgomery, Alabama, US",111.5782173
US,Alabama,Morgan,"Morgan, Alabama, US",79.38223066
US,Alabama,Perry,"Perry, Alabama, US",5.089327131
US,Alabama,Pickens,"Pickens, Alabama, US",8.891346444
US,Alabama,Pike,"Pike, Alabama, US",19.18998514
US,Alabama,Randolph,"Randolph, Alabama, US",15.0131423
US,Alabama,Russell,"Russell, Alabama, US",35.05587426
US,Alabama,St. Clair,"St. Clair, Alabama, US",53.370584
